"Card_ID";"Navn";"Arbejdssted_ID";"SD_ID";"Center_ID";"Leder";"EAN";"AfdelingsMail"

"312";"10. klasse Center";"334";"TIKL";"CSD ";"";"";""

"354";"Administration";"235";"CSOA";"CSO ";"";"";""

"315";"Afd. Bækkegårdssskolen";"331";"SBAK";"CSD ";"";"";""

"313";"Afd. Balsmoseskolen";"124";"SBAL";"CSD ";"";"";""

"314";"Afd. Boesagerskolen";"108";"SBOE";"CSD ";"";"";""

"318";"Afd. Ganløse Skole";"226";"SGAN";"CSD ";"";"";""

"319";"Afd. Hampelandskolen";"332";"SHAM";"CSD ";"";"";""

"321";"Afd. Lærkeskolen";"228";"SLAR";"CSD ";"";"";""

"322";"Afd. Maglehøjskolen";"335";"SMAG";"CSD ";"";"";""

"338";"Afd. Slagslunde Skole";"225";"SSLA";"CSD ";"";"";""

"342";"Afd. Søagerskolen";"113";"SSOE";"CSD ";"";"";""

"339";"Afd. Stengårdsskolen";"330";"SSTE";"CSD ";"";"";""

"344";"Afd. Toftehøjskolen";"333";"STOF";"CSD ";"";"";""

"346";"Afd. Veksø Skole";"227";"SVEK";"CSD ";"";"";""

"350";"Afdeling Skelhøj";"237";"SKEL";"CSS ";"";"";""

"352";"Afdeling Søvænge";"343";"SOEV";"CSS ";"";"";""

"509";"Aften Nat Teams";"235";"UAN";"CSO ";"";"";""

"510";"Aktivitetscenter";"103";"AKT";"CSO ";"";"";""

"511";"Aktivitetscentret Porsebakken";"103";"AKTC";"CSO ";"";"";""

"381";"Aktivteam";"400J";"AKTI";"JOB ";"";"";""

"382";"Arbejdsmarkedsteam og modtagelse";"400J";"ARBM";"JOB ";"";"";""

"433";"Bækkegårdsskolen, samlet";"331";"SBK";"CSD ";"";"";""

"549";"Bakkehuset";"221";"BAKK";"CSS ";"";"";""

"430";"Balsmoseskolen, samlet";"124";"SBA";"CSD ";"";"";""

"285";"Biblioteker";"310";"BIB";"CBS ";"";"";""

"512";"Blomme- og Syrenhaven";"235";"BLOM";"CSO ";"";"";""

"431";"Boesagerskolen, samlet";"108";"SBO";"CSD ";"";"";""

"286";"Borgerkontakt";"400R";"BOST";"CBS ";"";"";""

"401";"Borgerkontakt Team I";"200";"BOS1";"CBS ";"";"";""

"402";"Borgerkontakt Team II";"200";"BOS2";"CBS ";"";"";""

"362";"Borgervejleder";"400R";"";"UVS ";"";"";""

"367";"Borgmestersekretariatet";"400R";"BSEK";"BMS ";"";"";""

"400";"Borgmestersekretariatet, leder";"300";"BORS";"BMS ";"";"";""

"464";"Børnehuset Åkandehaven";"117";"BAAK";"CSD ";"";"";""

"440";"Børnehuset Bækkegården";"329";"BBAE";"CSD ";"";"";""

"434";"Børnehuset Basthøj";"207";"BBAS";"CSD ";"";"";""

"435";"Børnehuset Bavnehøj";"213";"BBAV";"CSD ";"";"";""

"437";"Børnehuset Blåmejsen";"203";"BBLA";"CSD ";"";"";""

"436";"Børnehuset Blomsterhaven";"222";"BBLO";"CSD ";"";"";""

"438";"Børnehuset Boelholm";"220";"BBOE";"CSD ";"";"";""

"439";"Børnehuset Brøndsted";"219";"BBRO";"CSD ";"";"";""

"441";"Børnehuset De 4 årstider";"210";"BAAR";"CSD ";"";"";""

"442";"Børnehuset Degnebakken";"223";"BDEG";"CSD ";"";"";""

"443";"Børnehuset Eventyrhuset";"320";"BEVE";"CSD ";"";"";""

"444";"Børnehuset Hampeland";"322";"BHAM";"CSD ";"";"";""

"445";"Børnehuset Havrevænget";"224";"BHAV";"CSD ";"";"";""

"446";"Børnehuset Hvidehøj";"204";"BHVI";"CSD ";"";"";""

"447";"Børnehuset Jordbærvangen";"109";"BJOR";"CSD ";"";"";""

"448";"Børnehuset Junglen";"123";"BJUN";"CSD ";"";"";""

"449";"Børnehuset Kildeholm";"318";"BKIL";"CSD ";"";"";""

"454";"Børnehuset Mælkebøtten";"105";"BMAE";"CSD ";"";"";""

"450";"Børnehuset Maglehøj";"301";"BMAG";"CSD ";"";"";""

