"Card_ID";"Navn";"Arbejdssted_ID";"Vejadresse";"Postnummer";"Bynavn";"Aabningstid";"Telefon";"Faellespostkasse";"Web";"Url"
"111";"10. Klasse Center";"334";"Roskildevej 22B";"3650";"Ølstykke";"";"";"";"oelstykketiende.dk";"http://www.oelstykketiende.dk/"
"233";"Aktivitetscenter";"235A";"Damgårdsparken 9";"3660";"Stenløse";"";"";"";"";""
"101";"Bækkegårdsskolen";"249";"Bækkegårds Plads 2";"3650";"Ølstykke";"";"";"";"baekkegaardsskolen.dk";"http://www.baekkegaardsskolen.dk/"
"117";"Bakkehuset";"221";"Jægerbakken 82";"3670";"Veksø";"";"";"";"egedalsocialpsykiatri.dk";"http://egedalsocialpsykiatri.dk/"
"99";"Balsmoseskolen";"124";"Æblevangen 126";"2765";"Smørum";"";"";"";"balsmoseskolen.dk";"http://www.balsmoseskolen.dk/"
"166";"Beredskabscenter";"308";"Karmstensvej 1";"3650";"Ølstykke";"";"";"";"";""
"100";"Boesagerskolen";"108";"Flodvej 89";"2765";"Smørum";"";"";"";"boesagerskolen.dk";"http://www.boesagerskolen.dk/"
"53";"Børnehuset Åkandehaven";"117";"Åkandehaven 42";"2765";"Smørum";"";"";"";"aakandehaven.dk";"http://www.aakandehaven.dk"
"55";"Børnehuset Bækkegården";"329";"Bækkegårds Plads 3";"3650";"Ølstykke";"";"";"";"bgaarden.dk";"http://www.bgaarden.dk"
"179";"Børnehuset Basthøj";"207";"Bastbjergvej 2";"3660";"Stenløse";"";"";"";"basthoj.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.17D"
"41";"Børnehuset Blåmejsen";"203";"Blåmejsevej 1";"3660";"Stenløse";"";"";"";"blaamejsen.dk";"http://www.blaamejsen.dk"
"59";"Børnehuset Boelholm";"220";"Boelholmvej 3";"3660";"Stenløse";"";"";"";"boelholm.dk";"http://www.boelholm.dk/"
"178";"Børnehuset De Fire Årstider";"210";"Maglehøj Allé 3";"3670";"Veksø";"";"";"";"bh-veksoe.dk";"http://www.bh-veksoe.dk"
"40";"Børnehuset Degnebakken";"223";"Degnebakken 2";"3660";"Stenløse";"";"";"";"degnebakken.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.5C"
"171";"Børnehuset Eventyrhuset";"320";"Vølundsvej 2A";"3650";"Ølstykke";"";"";"";"bh-eventyrhuset.dk";"http://www.bh-eventyrhuset.dk"
"54";"Børnehuset Hampeland";"322";"Hampelandvej 9";"3650";"Ølstykke";"";"";"";"bh-hampeland.dk ";"http://www.bh-hampeland.dk "
