"Card_ID";"Navn";"Arbejdssted_ID";"Enhed_ID";"SD_ID";"Center_ID";"Leder";"Leder_Niveau";"Sekretaer_Initialer";"Sekretaer";"EAN";"AfdelingsEmail"
"312";"10. Klasse";"334";"TIKL";"TIKL";"CSD ";"Anders Clausager";"";"JJK4BK";"Bettina Kuehn";"5798008079948";""
"545";"Afdeling Skelhøj";"";"ES2";"ES2";"CSO ";"Kim Jørgensen";"3";"";"";"5798008081118";""
"544";"Afdeling Søvænge";"";"ES1";"ES1";"CSO ";"Kim Jørgensen";"3";"";"";"5798008081125";""
"762";"Affald";"400R";"AFFA";"AFFA";"CTM";"Thomas Jakobsen";"";"";"";"5798008081170";"Affald@egekom.dk"
"514";"Aktivitetscenteret Damgårdsparken";"235";"AKTC";"AKTC";"CSO ";"Anita Haag";"4";"";"";"";""
"381";"Aktivteam";"400J";"AKTI";"AKTI";"JOB ";"Sanja Saric";"";"";"";"";""
"382";"Arbejdsmarkedsteam og Modtagelse";"400J";"ARBM";"ARBM";"JOB ";"Linette Søndengaard";"";"";"";"";""
"315";"Bækkegårdssskolen";"331";"SBAK";"SBAK";"CSD ";"Mikael Frederiksen";"";"JJK2BL";"Bettina Lundh";"5798008080296";""
"549";"Bakkehuset";"221";"BAKK";"BAKK";"CSS ";"Søren Hvid Karsten";"4";"";"";"";""
"313";"Balsmoseskolen";"124";"SBAL";"SBAL";"CSD ";"Susanne Teilmann";"";"JJK3AT";"Annette Thisted";"5798008857232";""
"713";"BIB Ledelse og sekretariat";"310";"BIBL";"BIBL";"CBS";"Bente Stonor Nielsen";"3";"";"";"5790001129347";""
"285";"Biblioteker og Borgertorvet";"310";"BIB";"BIB";"CBS ";"Bente Stonor Nielsen";"3";"";"";"5790001129347";""
"512";"Blomme- og Syrenhaven";"235";"BLOM";"BLOM";"CSO ";"Birthe Jensen";"4";"";"";"";""
"314";"Boesagerskolen";"108";"SBOE";"SBOE";"CSD ";"Peter Kilmose";"";"JJK6BA";"Bente Agerbæk-Larsen";"5798008857249";""
"286";"Borgertorvet";"400R";"BOK2";"BOK2";"CBS ";"Stina Lyngse";"4";"";"";"";""
"464";"Børnehuset Åkandehaven";"117";"BAAK";"BAAK";"CSD ";"Ulla Køppen";"";"";"";"";""
"440";"Børnehuset Bækkegården";"329";"BBAE";"BBAE";"CSD ";"Kate Halbech";"";"";"";"";""
"434";"Børnehuset Basthøj";"207";"BBAS";"BBAS";"CSD ";"Anette Bangaard Rasmussen";"";"";"";"";""
"437";"Børnehuset Blåmejsen";"203";"BBLA";"BBLA";"CSD ";"Karsten Christoffersen";"";"";"";"";""
"438";"Børnehuset Boelholm";"220";"BBOE";"BBOE";"CSD ";"Anne Krusaa";"";"";"";"";""
"441";"Børnehuset De 4 Årstider";"210";"BAAR";"BAAR";"CSD ";"";"";"";"";"";""
"442";"Børnehuset Degnebakken";"223";"BDEG";"BDEG";"CSD ";"Annette Brøsen";"";"";"";"";""
"443";"Børnehuset Eventyrhuset";"320";"BEVE";"BEVE";"CSD ";"Charlotte Weber";"";"";"";"";""
"444";"Børnehuset Hampeland";"322";"BHAM";"BHAM";"CSD ";"Litta Svane";"";"";"";"";""
"445";"Børnehuset Havrevænget";"224";"BHAV";"BHAV";"CSD ";"Camilla Skov Madsen";"";"";"";"";""
"716";"Børnehuset Hindbærvangen";"121";"BHIN";"BHIN";"CSD";"Janie Winkelmann";"";"";"";"";""
"446";"Børnehuset Hvidehøj";"204";"BHVI";"BHVI";"CSD ";"Maya Grandahl";"";"";"";"";""
"447";"Børnehuset Jordbærvangen";"109";"BJOR";"BJOR";"CSD ";"Tina Emborg Sørensen";"";"";"";"";""
"448";"Børnehuset Junglen";"123";"BJUN";"BJUN";"CSD ";"Nina Petersen";"";"";"";"";""
"449";"Børnehuset Kildeholm";"318";"BKIL";"BKIL";"CSD ";"Trine Schnoor Wettlaufer";"";"";"";"";""
"454";"Børnehuset Mælkebøtten";"105";"BMAE";"BMAE";"CSD ";"Ann Maria Skov";"";"";"";"";""
"717";"Børnehuset Mælkevejen";"219";"BBRO";"BBRO";"CSD";"Kit Ervolder";"";"";"";"";""
"450";"Børnehuset Maglehøj";"301";"BMAG";"BMAG";"CSD ";"Inge Aagaard";"";"";"";"";""
